id,area_km^2
4551,19.9
4001,12.33
301,7.92
4271,4.42
321,9.87
4221,4.15
5621,3.9
5048,61.63
561,88.23
1051,6.99
21,6.64
131,7.8
2421,12.89
401,2.05
731,2.16
2761,7.4
1021,4.66
241,5.2
2511,5.44
562,30.92
1,7.87
4711,14.36
2,10.6
951,11.47
6101,7.65
5742,5.47
5141,2.49
5401,16.47
6601,2.88
5061,94.5
1121,3.56
6102,15.53
3542,93.98
402,6.62
5851,2.55
6771,10.63
630,3.78
2762,8.92
1401,53.78
1361,22.93
1122,6.78
1201,10.23
1341,20.45
2291,16.08
211,7.68
1123,5.74
4641,6.7
5237,21.93
3251,39.54
1022,2.9
3311,43.01
4881,14.45
4191,3.2
4461,19.01
921,4.69
3701,46.36
30,6.69
1202,62.16
3611,13.63
3441,6.25
6602,3.83
6252,243.07
2841,3.99
3101,16.86
5421,12.97
5143,2.72
6261,19.28
5001,21.3
2881,3.44
4401,5.93
381,6.41
2171,6.11
6021,20.37
2821,9.99
4222,8.71
2763,6.97
5701,2.1
5743,7.63
4061,3.45
602,10.41
5144,8.55
3921,154.73
1362,42.1
5091,4.98
5511,5.31
5146,3.83
2321,9.81
4272,2.2
1203,46.82
971,7.64
3231,4.71
5422,9.41
2061,1.92
4091,5.72
2822,1.62
6191,14.89
322,4.6
2172,2.43
2173,6.22
4223,8.55
5324,27.34
5451,19.43
3681,93.08
2174,5.81
6603,4.64
6604,5.19
6082,55.04
1701,24.78
51,4.29
81,9.15
3291,25.44
4323,6.53
4021,13.18
6031,282.21
4301,2.81
5242,2.59
3232,6.54
5744,9.05
5423,8.48
1023,8.73
2541,5.46
2422,15.69
6281,31.39
532,2.2
323,4.75
2243,9.13
6605,5.03
302,7.89
2931,8.3
2162,33.27
2280,9.95
4536,15.67
2701,23.95
6807,22.99
52,8.99
5703,20.87
1204,3.79
5745,22.55
297,29.49
5746,9.3
571,29.22
1501,24.27
5148,1.92
5149,2.47
5063,75.19
2951,12.64
5704,4.79
4224,11.32
2612,22.65
4131,3.85
2175,6.43
2542,5.26
6606,4.39
4022,4.94
5002,19.09
732,3.81
6052,13.72
5581,2.6
5902,6.51
861,23.27
681,3.84
3312,16.41
22,5.67
2882,6.52
5512,4.24
3211,3.78
4891,13.13
23,7.06
4023,6.02
3521,145.64
4062,5.38
2932,18.62
972,1.4
4801,3.55
351,51.59
3233,5.58
6607,12.97
5424,9.59
1081,42.19
4226,2.35
973,3.96
5471,3.75
2702,2.18
2543,12.22
6205,29.36
4716,3.85
4227,4.26
6773,5.1
6402,10.81
3781,45.65
5402,96.6
5281,59.12
2513,12.24
4002,4.14
4721,12.15
2764,4.09
371,21.25
2445,4.18
603,3.58
2063,4.9
6054,65.04
2765,4.45
5151,6.49
5903,4.29
5513,3.1
242,11.43
4024,7.75
4092,5.04
4093,3.01
4132,3.44
2766,2.54
4901,12.3
4471,11.68
5154,1.83
6172,5.83
6173,4.07
3531,76.7
5425,24.97
6192,90.66
2781,7.11
324,5.69
5049,202.21
6055,11.81
5881,16.04
922,15.53
5064,6.35
5747,4.21
5705,2.45
2514,2.13
352,16.56
791,76.96
3721,14.45
6774,9.02
6775,13.57
2571,2.81
4192,2.35
3,7.45
5551,7.48
82,3.92
5706,1.95
5304,22.08
2323,4.08
4228,11.75
5514,6.94
4273,5.1
2123,4.17
4643,2.4
2767,2.96
6404,16.74
5426,1.78
5661,3.42
6032,90.15
5613,9.65
5472,3.88
6703,13.55
5473,3.18
6131,12.91
605,14.7
6702,12.31
4723,9.19
3792,251.37
5269,25.55
3981,50.83
2613,6.83
5622,2.95
4063,11.31
353,1.88
5662,3.81
606,2.21
5515,2.85
5748,5.48
2883,7.36
573,48.02
574,17.64
6002,38.0
5095,48.5
5096,3.8
2782,9.37
5097,17.79
4274,13.68
2124,10.06
6405,4.96
6433,16.06
4095,6.34
4193,1.51
5160,4.08
3551,46.25
733,5.01
2292,3.24
491,6.61
213,6.65
2823,10.84
112,11.64
2961,3.83
24,10.12
2933,5.86
2465,22.77
923,15.27
5623,2.15
1052,4.79
4003,5.33
3271,15.95
83,5.88
2843,2.0
2125,23.86
5552,16.86
1502,9.94
6778,13.7
4133,0.92
2783,2.82
404,15.57
863,7.5
5852,1.8
5853,3.41
5854,5.66
3804,11.24
4921,18.98
325,2.84
2004,3.62
5625,3.05
5663,3.09
1083,16.77
4230,4.51
2844,8.87
111,22.19
403,2.77
2611,11.18
533,10.11
2471,1.69
4302,2.61
2842,2.29
572,15.07
2295,14.32
4303,7.45
4124,15.56
4094,3.92
382,3.62
734,2.98
3021,5.58
53,16.1
4229,5.77
6193,13.4
2472,6.22
383,12.63
4911,11.67
1205,53.13
1082,5.39
2614,7.55
3395,21.8
2914,4.02
4064,2.82
5161,3.91
5162,0.76
5003,8.44
3837,37.68
3831,15.06
5004,8.27
5307,43.34
5167,1.3
5226,36.26
6608,2.65
5782,5.41
6609,4.41
5171,2.81
3805,3.94
5249,11.8
3703,25.59
3661,31.2
3782,24.03
5397,51.42
5309,20.11
5310,151.32
6232,24.45
1702,17.76
5904,2.87
6022,32.4
5553,3.93
683,7.19
5812,3.03
5905,9.01
6151,38.95
6611,5.37
2066,2.03
5882,10.29
6132,7.6
5707,2.87
5708,2.17
5907,4.0
5475,2.66
5627,1.66
5665,5.15
5749,11.07
2009,6.48
6234,5.36
5666,1.66
5909,6.07
5582,4.57
5403,3.55
5476,3.78
5813,4.35
5601,2.16
2010,5.13
5250,5.3
5628,0.87
6235,2.0
6614,3.9
3901,28.01
3911,48.58
2005,4.77
5841,113.61
2325,47.88
2128,2.0
2008,1.3
6704,5.25
2068,6.33
2177,3.97
5709,10.56
2179,1.66
6612,4.14
6613,1.27
5908,2.08
5629,1.01
5282,21.2
661,0.98
6808,61.82
6781,11.58
5710,2.94
5251,2.48
6615,6.86
5236,6.12
6152,29.81
6616,6.13
6211,12.24
6617,3.69
5176,2.03
5711,6.49
5554,11.37
6618,2.75
3881,18.39
6023,85.09
5712,1.87
6705,7.89
5404,22.0
2129,9.6
687,6.78
6407,4.86
5785,7.95
5555,4.09
5816,12.14
5751,5.46
431,17.57
5102,7.72
2183,5.62
432,13.51
6451,4.72
6782,10.47
2184,4.47
5883,1.06
2185,3.46
6619,2.78
5884,6.74
6408,3.66
433,14.82
5477,8.24
2186,4.97
5478,2.4
6706,6.44
6783,6.25
6784,18.42
2250,3.41
2251,3.27
6708,11.03
6709,19.74
690,24.58
6785,8.15
434,22.09
2254,4.08
6710,13.58
5713,4.27
5714,2.04
5668,1.65
5283,17.23
2257,4.15
6452,8.6
5583,5.52
5178,4.37
5910,6.59
5752,4.48
691,9.51
2130,1.8
5479,7.09
5911,4.6
5456,15.86
5138,35.77
2011,9.87
5516,2.9
3532,7.11
5180,1.08
5181,2.85
5669,4.98
6610,4.7
25,2.69
1125,23.86
5480,5.49
1503,15.49
5071,14.5
6787,5.66
6620,8.59
3851,283.97
3401,14.44
535,2.13
2516,7.63
2051,7.26
6711,21.99
5631,3.29
5632,1.68
4004,12.59
2517,5.61
6712,12.46
2884,9.65
86,5.87
536,2.81
762,130.02
2845,1.42
3234,11.18
1053,2.82
385,6.28
4545,10.04
243,9.28
54,4.22
4231,5.52
216,7.08
4194,3.72
3982,91.07
2784,6.74
5481,3.1
3722,24.24
2013,8.93
3673,45.94
2014,4.44
5671,3.22
3705,4.66
5913,8.95
1001,6.97
26,5.54
2473,5.75
6212,12.54
4065,3.88
386,4.22
4406,1.31
2535,4.51
2785,5.9
5715,4.07
2573,6.03
5855,1.61
214,7.97
84,4.48
2572,5.37
85,2.8
575,6.85
761,32.79
215,2.9
5912,4.28
2915,5.77
4304,6.95
191,13.61
2293,30.82
113,10.21
952,14.04
4134,5.9
1126,8.56
1054,9.69
3352,43.57
5518,6.67
5633,3.89
2131,4.61
5634,13.28
5482,5.82
2072,4.87
5635,5.69
6713,3.34
4096,6.87
2401,6.92
192,14.5
4066,2.53
6004,5.99
3212,8.89
901,60.25
55,9.08
4195,6.33
4411,18.46
1127,4.17
4049,7.27
1084,5.89
3252,5.47
4161,7.01
1301,99.06
6194,13.75
6282,37.97
4097,4.21
217,15.56
218,5.0
219,8.04
6283,13.37
56,12.74
1024,20.34
1504,24.99
4305,11.89
1402,74.76
6453,9.54
4026,2.13
1505,9.39
1506,14.1
1002,56.96
5584,4.62
2189,5.63
5914,4.83
2574,1.83
735,3.41
2885,11.24
6104,30.07
953,11.33
924,21.78
492,3.45
4476,12.23
151,2.96
763,36.68
4005,9.85
2503,8.87
4646,10.42
1025,5.7
6056,35.37
2615,7.45
405,8.74
1206,59.2
1026,13.19
3342,54.93
4806,12.01
692,6.6
4724,6.15
1010,106.35
5915,2.76
5788,1.66
5856,7.0
5520,9.72
2015,8.93
5521,3.77
5636,4.94
2768,6.38
1128,12.51
2518,3.38
372,3.64
6213,48.0
6083,209.99
5716,2.34
925,6.67
4196,3.96
6789,7.78
5072,126.14
3572,22.35
5458,3.47
975,3.65
2192,10.03
172,9.5
2616,1.5
4561,7.34
2544,2.49
3731,13.39
6195,27.9
662,9.23
5789,2.16
2194,1.03
3713,75.42
5483,3.19
27,2.5
1321,17.48
5522,7.4
3861,25.32
6057,11.27
6058,172.96
5556,6.83
3522,44.58
6214,22.79
493,3.57
1129,8.05
4067,3.1
114,30.16
4726,30.7
4306,5.77
4027,5.13
28,10.2
3402,11.49
3662,6.06
3732,50.45
2545,3.09
3292,75.14
29,2.4
3951,19.95
1207,12.42
1004,108.11
5557,7.92
6790,20.01
5604,18.49
5672,2.85
948,4.52
5717,4.77
5105,25.75
538,32.03
4566,27.36
663,9.29
1322,13.77
57,8.33
4028,4.02
607,2.93
2824,4.6
6409,1.59
2196,9.32
4163,9.98
5523,7.07
563,71.78
2258,3.14
2575,4.48
4307,4.86
6133,37.84
3862,33.25
193,6.41
5427,2.71
2016,4.07
2825,4.63
3633,1.3
4571,9.81
3022,21.19
3442,12.68
1342,13.26
2259,9.05
494,7.91
5398,51.74
6118,23.11
495,10.8
3272,22.31
4164,8.76
4029,5.7
865,3.47
2846,9.82
4232,3.31
2474,5.97
2260,1.66
5718,4.87
6622,2.81
6621,15.88
2519,1.91
244,1.9
1311,14.36
866,7.84
1130,6.02
1085,6.43
2826,1.34
5559,4.76
2294,5.22
5857,7.73
5428,18.94
5719,12.58
5073,19.48
4165,10.2
1055,1.1
1403,85.94
5005,6.23
2197,3.45
5720,3.95
5721,8.37
1632,103.62
1630,146.98
1631,430.18
58,12.31
2022,2.93
5006,7.45
664,2.78
3213,4.74
5484,5.46
3341,33.59
326,9.36
3102,24.72
4135,9.77
5108,7.01
5007,9.22
6410,13.98
3443,27.46
115,18.28
4651,0.36
5541,10.69
976,3.17
3273,54.68
6073,22.6
5186,0.63
5485,5.66
5817,10.23
5560,3.45
6792,8.94
5561,7.9
694,8.19
2134,24.2
2328,4.46
2198,3.98
2079,3.36
5187,0.64
194,2.33
2786,3.33
2546,26.05
2261,1.01
6177,58.5
5722,2.57
1056,3.3
5109,11.11
2576,5.81
6263,4.45
2617,3.0
576,171.13
2200,5.32
3832,14.83
303,15.1
1131,10.23
608,3.44
1086,19.69
3031,4.23
2135,28.39
5405,15.24
6285,14.29
4006,17.27
6238,21.1
116,8.8
3961,43.28
841,62.41
577,7.03
5008,9.89
852,54.87
2578,3.91
665,1.83
2262,17.21
1209,83.35
867,4.51
782,200.73
6117,10.5
6624,3.21
2901,7.26
2423,11.36
1208,104.14
578,16.88
2547,5.28
4656,9.5
579,51.08
4099,2.23
220,8.16
736,1.81
3941,18.55
2971,15.34
4197,2.23
2520,1.85
1005,40.31
406,21.87
783,41.69
2491,5.31
4486,12.49
4100,3.18
4,13.68
2121,60.47
2281,7.57
6809,36.46
6729,71.05
2233,11.92
6454,2.16
2137,10.55
5,6.53
4416,6.14
3032,7.52
927,5.57
928,5.36
977,5.83
407,23.37
2296,9.05
4251,7.05
408,1.51
3372,20.21
2962,7.94
2848,3.43
4198,3.51
31,3.06
5819,2.6
2424,16.35
610,2.74
4811,13.67
1507,14.22
1132,31.3
3001,25.16
6625,1.46
5673,4.77
978,1.05
737,3.45
152,8.96
2827,1.69
4166,6.25
979,9.82
221,5.79
1088,6.99
929,2.79
2618,6.0
409,6.72
3691,48.38
117,22.31
4007,3.53
132,9.7
173,13.01
1030,24.61
1031,9.59
59,6.15
2475,8.28
222,8.85
580,8.7
2476,7.52
1032,23.39
4495,7.99
4199,2.32
2425,7.79
4136,2.87
931,6.48
153,12.16
4816,24.11
1057,1.25
133,21.13
4421,1.74
4167,7.32
932,20.4
2523,2.6
1058,12.82
1210,34.97
2548,1.36
32,3.68
3002,24.07
4200,3.26
954,17.28
2847,3.94
2579,13.87
3201,9.15
4068,7.75
2402,5.57
609,3.04
6084,107.57
410,2.6
2886,5.96
60,4.77
1703,18.41
2524,1.01
61,4.93
134,7.24
87,1.6
4590,11.59
4821,17.68
6239,24.98
541,5.03
3619,133.43
1363,10.94
174,25.3
6109,9.89
1364,13.47
980,3.38
1343,50.18
784,236.55
496,23.9
581,4.36
1033,10.33
739,1.9
5284,18.34
582,21.85
1211,60.99
4084,1.65
5009,12.89
5137,17.06
6134,15.28
2849,3.14
362,4.21
868,1.28
2138,55.24
540,13.49
3863,25.95
3952,10.5
738,4.6
2264,1.77
4071,5.7
5885,2.16
3405,11.05
5804,17.65
5585,1.92
5754,9.33
6626,11.35
4252,4.92
4308,0.31
4169,18.09
4233,2.69
304,15.17
3313,18.63
2549,0.94
564,32.02
565,134.49
2580,5.1
6,7.83
305,10.88
869,2.1
870,4.43
4666,25.05
411,3.32
1404,92.62
2265,12.22
4426,4.42
2403,8.6
2492,8.55
611,4.71
2851,1.6
135,2.6
4030,2.4
6197,11.67
412,9.05
3392,42.55
872,6.1
873,1.26
4275,4.36
354,11.92
33,10.29
2266,3.01
2619,16.32
4309,6.72
3871,193.16
62,19.3
7,6.51
1089,9.78
4310,4.06
612,12.78
413,6.92
4501,10.94
566,6.03
414,19.36
4671,11.48
666,4.76
2525,1.13
1059,27.34
175,7.61
2850,1.44
4276,8.84
355,51.08
3882,8.13
4031,4.88
154,12.33
1331,29.45
4008,11.89
5871,31.91
5741,5.82
5486,16.26
6810,31.11
2234,10.26
6432,41.96
5474,6.79
6421,55.67
6744,4.07
6435,17.3
6504,12.86
435,14.18
2116,9.9
723,6.81
5758,5.12
3785,63.22
5726,16.6
2149,24.04
6423,25.6
5498,7.74
2235,6.9
5889,3.26
6461,5.44
2338,13.42
3575,31.68
1344,2.4
6627,3.83
6750,12.37
6286,1.26
5189,1.84
2887,4.03
6628,4.84
613,10.27
3955,18.92
2888,15.72
2550,1.95
329,17.27
136,8.65
902,48.47
4681,10.87
3513,21.82
842,58.74
1365,9.24
2787,11.34
34,6.25
4170,14.46
667,4.08
2426,15.52
903,21.14
5586,41.33
2828,5.56
584,164.41
2889,7.27
5112,58.1
5406,14.14
5637,3.97
5323,187.51
6061,4.99
6741,11.62
6434,15.65
5872,99.24
2067,7.48
2337,9.54
2223,10.31
6623,4.37
6455,10.26
5873,32.52
6436,23.06
5587,9.75
2220,18.47
6754,20.43
2145,4.48
5731,3.12
3833,9.15
4311,6.37
4137,1.12
585,10.37
4312,12.64
387,7.32
4683,8.84
792,123.04
6240,13.85
4201,11.35
6081,5.07
6742,24.74
6431,11.56
6743,10.82
5750,7.07
6745,7.09
6748,13.6
2050,10.31
6422,11.72
6437,18.25
6511,28.78
4313,13.73
6110,55.29
6111,67.21
4138,3.76
388,10.29
5407,18.53
6135,26.92
3374,2.8
6033,60.15
2890,1.95
2788,12.51
2829,18.15
740,1.78
5755,10.64
